text,reposts_count,comments_count,attitudes_count,label
帮一下我们宁波5个大女婴手术失误致死L小洛熙爸爸的微博视频,21394,12013,196128,0
太心疼孩子了,0,0,196128,0
大庆中级法院超话【河南洛阳：示范文本赋能高效便捷司法服务】近日，在河南省洛阳市洛龙区人民法院诉讼服务中心，因金融借款合同纠纷前来立案的市民李先生，在导诉员的帮助下，轻松上手使用起诉状示范文本，一份标准化的要素式起诉状快速生成。据了解，今年以来，洛阳法院加强与金融监管部门、司法行政部门、律师协会等单位联动，通过线上推广、线下发放填写指南等方式，积极开展“两状”示范文本宣传推广活动。目前，全市法院58类审判领域示范文本应用率为96%，9类执行申请书示范文本应用率为67.1%。下一步，洛阳法院将持续优化示范文本的应用流程，探索智能文书生成系统，努力为人民群众提供更加高效、便捷、优质的诉讼服务。（最高人民法院）,13,10,6,1
四川小仙女嫁给孟加拉国男子后，穿黑罩袍皈依YSL…。现在却把混血子女上中国户口，不是、中国又不是YSL国家，小仙女都皈依YSL教了，为什么不留在YSL国家孟加拉国而是要全家搬到中国！,20,27,107,1
脑残媚外婊霍乱华夏,0,0,107,0
#女婴心脏手术去世涉事医生已停诊#11月17日，浙江宁波。5月龄女婴的生命永远停在了手术台，涉事医生被停诊的回应，只是真相揭开的第一步。从“低风险微创手术”到9小时漫长煎熬，从术中隐瞒二次开胸到病历记录与死亡事实相悖，每一个疑点都戳痛人心。停诊不是终点，公众期待的是彻查手术全程的疏漏，厘清术前评估的争议，给逝去的小生命和悲痛的家庭一个公正交代。#微博热点优质创作计划##女婴疑在宁波妇幼做微创手术去世#L好运-不打烊的微博视频,0,120,16,1
美国一位男博主因“变帅教学”走红，也让“Looksmaxxing容貌极致化”一词成了流行。但不少网友抨击：完全是给男生制造容貌焦虑搞“雄竞”啊…,1894,522,20384,0
这才到哪呢，就开始心疼男的了，当男的真好//@氧化虎酒精溶液:这事儿一放男的身上立刻被上升到社会层面了，放女的身上就无事发生的运行千八百年，嘎嘎嘎嘎,0,0,20384,0
【新闻】韩国炎热的七月中旬，又要增加一个公休日了…宪法日时隔18年再次推进成为‘休息日’,377,147,1704,1
我真服了，之前切卡的时候????快递员就一直休休休，现在又多一天,0,0,1704,0
